Rank,Name,Net Worth $B,Age,Country/Territory,Source,Industries
712,MARK SHOEN,2.9,69.0,United States,U-Haul,Automotive
712,SU HUA,2.9,38.0,China,video streaming,Media & Entertainment
712,GLEN TAYLOR,2.9,78.0,United States,printing,Service
712,WANG ZHENDONG,2.9,43.0,China,education,Service
712,HANS PETER WILD,2.9,78.0,Switzerland,flavorings,Food & Beverage
712,WONG LUEN HEI,2.9,58.0,China,building materials,Manufacturing
712,XUE XIANGDONG & FAMILY,2.9,61.0,China,software,Technology
712,TAKAO YASUDA,2.9,70.0,Japan,retail,Fashion & Retail
712,ZHENG SHULIANG & FAMILY,2.9,74.0,China,aluminum products,Metals & Mining
712,ZHOU JIANPING,2.9,59.0,China,fashion retail,Fashion & Retail
743,PIERRE BELLON & FAMILY,2.8,90.0,France,food services,Service
743,JUERGEN BLICKLE,2.8,73.0,Germany,auto parts,Manufacturing
743,JAY CHAUDHRY,2.8,60.0,United States,security software,Technology
743,OTTO HAPPEL,2.8,72.0,Germany,engineering,Construction & Engineering
743,JAMES JANNARD,2.8,70.0,United States,sunglasses,Fashion & Retail
743,KIM BEOM-SU,2.8,54.0,South Korea,online services,Technology
743,TIMUR KULIBAEV,2.8,53.0,Kazakhstan,banking,Finance & Investments
743,DINARA KULIBAEVA,2.8,52.0,Kazakhstan,banking,Finance & Investments
743,RICHARD LEFRAK & FAMILY,2.8,74.0,United States,real estate,Real Estate
743,DANIEL LOEB,2.8,58.0,United States,hedge funds,Finance & Investments
743,"STEPHEN MANDEL, JR.",2.8,64.0,United States,hedge funds,Finance & Investments
743,JOE MANSUETO,2.8,63.0,United States,investment research,Finance & Investments
743,PHILIP NIARCHOS,2.8,66.0,Greece,art collection,Diversified
743,MAJA OERI,2.8,65.0,Switzerland,Pharmaceuticals,Healthcare
743,OR WAI SHEUN,2.8,68.0,Hong Kong,real estate,Real Estate
743,CLIVE PALMER,2.8,66.0,Australia,mining,Metals & Mining
743,QIU GUANGHE & FAMILY,2.8,68.0,China,fashion retail,Fashion & Retail
743,ARKADY ROTENBERG,2.8,68.0,Russia,"construction, pipes, banking",Construction & Engineering
743,DAVID RUBENSTEIN,2.8,70.0,United States,private equity,Finance & Investments
743,SU SUYU & FAMILY,2.8,71.0,China,"utilities, real estate",Real Estate
743,ZHANG TAO,2.8,47.0,China,e-commerce,Fashion & Retail
764,ANTHONY BAMFORD & FAMILY,2.7,74.0,United Kingdom,construction equipment,Construction & Engineering
764,BERNARD BROERMANN,2.7,76.0,Germany,hospitals,Healthcare
764,ALEJANDRO BULGHERONI,2.7,75.0,Argentina,oil & gas,Energy
764,"AUSTEN CARGILL, II.",2.7,69.0,United States,Cargill,Food & Beverage
764,"JAMES CARGILL, II.",2.7,71.0,United States,Cargill,Food & Beverage
764,VANICH CHAIYAWAN,2.7,88.0,Thailand,"insurance, beverages",Finance & Investments
764,"WILLIAM CONWAY, JR.",2.7,70.0,United States,private equity,Finance & Investments
764,RALPH DOMMERMUTH,2.7,56.0,Germany,internet service provider,Technology
764,FENG HAILIANG,2.7,59.0,China,"copper, education",Metals & Mining
764,JIMMY HASLAM,2.7,66.0,United States,"gas stations, retail",Fashion & Retail
764,GEORG HAUB,2.7,58.0,Germany,retail,Fashion & Retail
764,ZARAKH ILIEV,2.7,53.0,Russia,real estate,Real Estate
764,JASON JIANG,2.7,47.0,China,advertising,Media & Entertainment
764,KE ZUNHONG & FAMILY,2.7,65.0,China,pharmaceuticals,Healthcare
764,PETER KELLOGG,2.7,77.0,United States,investments,Finance & Investments
764,NATHAN KIRSH,2.7,88.0,Eswatini (Swaziland),"retail, real estate",Fashion & Retail
764,ERIC LEFKOFSKY,2.7,50.0,United States,Groupon,Technology
764,LI ZHONGCHU,2.7,56.0,China,software,Technology
764,MARIANNE LIEBMANN,2.7,66.0,United States,Cargill,Food & Beverage
764,MARTIN LORENTZON,2.7,51.0,Sweden,Spotify,Technology
764,JEFFREY LURIE,2.7,68.0,United States,Philadelphia Eagles,Sports
764,"DRAYTON MCLANE, JR.",2.7,83.0,United States,"Walmart, logistics",Fashion & Retail
764,ERWIN FRANZ MUELLER,2.7,87.0,Germany,drugstores,Fashion & Retail
764,"HENRY NICHOLAS, III.",2.7,60.0,United States,semiconductors,Technology
764,GOD NISANOV,2.7,47.0,Russia,real estate,Real Estate
764,SEAN PARKER,2.7,40.0,United States,Facebook,Technology
764,BOB PARSONS,2.7,69.0,United States,web hosting,Technology
764,HORST JULIUS PUDWILL,2.7,75.0,Germany,manufacturing,Manufacturing
764,CHANDRU RAHEJA,2.7,79.0,India,real estate,Real Estate
764,ANTONY RESSLER,2.7,58.0,United States,finance,Finance & Investments
764,HAIM SABAN,2.7,75.0,United States,"TV network, investments",Media & Entertainment
764,SHU PING,2.7,50.0,Singapore,restaurants,Food & Beverage
764,FRED SMITH,2.7,75.0,United States,FedEx,Logistics
764,JON STRYKER,2.7,61.0,United States,medical equipment,Healthcare
764,SUN HUAIQING & FAMILY,2.7,50.0,China,cosmetics,Fashion & Retail
764,RICHARD TSAI,2.7,62.0,Taiwan,finance,Finance & Investments
764,BULAT UTEMURATOV,2.7,62.0,Kazakhstan,"mining, banking, hotels",Metals & Mining
764,DON VULTAGGIO & FAMILY,2.7,68.0,United States,beverages,Food & Beverage
764,MARK WALTER,2.7,59.0,United States,finance,Finance & Investments
764,SAMUEL YIN,2.7,69.0,Taiwan,retail,Diversified
804,CLIFFORD ASNESS,2.6,53.0,United States,money management,Finance & Investments
804,WILLIAM BERKLEY,2.6,73.0,United States,insurance,Finance & Investments
804,EVA MARIA BUCHER-HAEFNER,2.6,63.0,Switzerland,"software, investments",Technology
804,JIM COULTER,2.6,60.0,United States,private equity,Finance & Investments
804,JIM DAVIS,2.6,60.0,United States,staffing & recruiting,Service
804,"JOHN DORRANCE, III.",2.6,76.0,Ireland,Campbell Soup,Food & Beverage
804,JACK DORSEY,2.6,43.0,United States,"Twitter, Square",Technology
804,IVAN GLASENBERG,2.6,63.0,Switzerland,mining,Metals & Mining
804,NOAM GOTTESMAN,2.6,58.0,United States,hedge funds,Finance & Investments
804,JOHN HENRY,2.6,70.0,United States,sports,Sports
804,HU BAIFAN,2.6,57.0,China,pharmaceuticals,Healthcare
804,B. WAYNE HUGHES,2.6,86.0,United States,self storage,Service
804,TRAVIS KALANICK,2.6,43.0,United States,Uber,Technology
804,KUAN KAM HON & FAMILY,2.6,72.0,Malaysia,synthetic gloves,Manufacturing
804,RAJ KUMAR & KISHIN RK,2.6,65.0,Singapore,real estate,Real Estate
804,CHRIS LARSEN,2.6,59.0,United States,cryptocurrency,Finance & Investments
804,MICHEL LECLERCQ & FAMILY,2.6,80.0,France,sporting goods,Fashion & Retail
804,LU ZHIQIANG,2.6,67.0,China,real estate,Real Estate
804,KIRAN MAZUMDAR-SHAW,2.6,67.0,India,biotech,Healthcare
804,PAWAN MUNJAL & FAMILY,2.6,66.0,India,motorcycles,Automotive
804,GEORG NEMETSCHEK & FAMILY,2.6,86.0,Germany,software,Technology
804,MICHAEL PIEPER,2.6,74.0,Switzerland,kitchen appliances,Manufacturing
804,SEBASTIAN PIÑERA & FAMILY,2.6,70.0,Chile,investments,Finance & Investments
804,JOHN PRITZKER,2.6,66.0,United States,"hotels, investments",Finance & Investments
804,SUMNER REDSTONE,2.6,96.0,United States,media,Media & Entertainment
804,DAN SNYDER,2.6,55.0,United States,Washington Redskins,Sports
804,THOMAS STRAUMANN,2.6,56.0,Switzerland,dental implants,Healthcare
804,LAWRENCE STROLL,2.6,60.0,Canada,fashion investments,Fashion & Retail
804,IVAR TOLLEFSEN,2.6,58.0,Norway,real estate,Real Estate
804,TSAI HONG-TU,2.6,67.0,Taiwan,finance,Finance & Investments
804,TY WARNER,2.6,75.0,United States,"real estate, plush toys",Real Estate
804,ZHANG LI,2.6,67.0,China,real estate,Real Estate
836,BRIAN ACTON,2.5,48.0,United States,WhatsApp,Technology
836,MICHAEL ASHLEY,2.5,55.0,United Kingdom,sports retailing,Fashion & Retail
836,RAINER BLICKLE,2.5,72.0,Germany,auto parts,Manufacturing
836,JOHN CAUDWELL,2.5,67.0,United Kingdom,mobile phones,Telecom
836,JASON CHANG,2.5,75.0,Singapore,electronics,Technology
836,CHOO CHONG NGEN,2.5,66.0,Singapore,hotels,Real Estate
836,MONG-KOO CHUNG,2.5,82.0,South Korea,Hyundai,Automotive
836,MARTIN EBNER,2.5,74.0,Switzerland,investments,Finance & Investments
836,ARCHIE ALDIS EMMERSON & FAMILY,2.5,90.0,United States,"timberland, lumber mills",Manufacturing
836,JUDY FAULKNER,2.5,76.0,United States,health IT,Technology
836,PHILIPPE FORIEL-DESTEZET,2.5,84.0,France,employment agency,Service
836,BOB GAGLARDI,2.5,79.0,Canada,hotels,Real Estate
836,LUCA GARAVOGLIA,2.5,51.0,Italy,spirits,Food & Beverage
836,PETER GASSNER,2.5,55.0,United States,software,Technology
836,HUANG YI,2.5,58.0,Hong Kong,car dealerships,Automotive
836,JOHNELLE HUNT,2.5,88.0,United States,trucking,Logistics
836,ARTHUR IRVING,2.5,90.0,Canada,oil,Energy
836,SAMVEL KARAPETYAN,2.5,54.0,Russia,real estate,Construction & Engineering
836,KWEK LENG BENG,2.5,79.0,Singapore,diversified,Diversified
836,GEOFFREY KWOK,2.5,34.0,Hong Kong,real estate,Real Estate
836,MARITSA LAZARI & FAMILY,2.5,75.0,United Kingdom,real estate,Real Estate
836,LI SHUIRONG,2.5,63.0,China,petrochemicals,Manufacturing
836,LI SZE LIM,2.5,63.0,Hong Kong,real estate,Real Estate
836,LIU ZHONGTIAN & FAMILY,2.5,56.0,China,aluminum products,Manufacturing
836,SERGIO MANTEGAZZA,2.5,92.0,Switzerland,travel,Service
836,RAVI PILLAI,2.5,66.0,India,construction,Construction & Engineering
836,PENNY PRITZKER,2.5,60.0,United States,"hotels, investments",Finance & Investments
836,RENZO ROSSO & FAMILY,2.5,64.0,Italy,fashion,Fashion & Retail
836,ROBERT ROWLING,2.5,66.0,United States,"hotels, investments",Service
836,PHIL RUFFIN,2.5,85.0,United States,"casinos, real estate",Diversified
836,HERB SIMON,2.5,85.0,United States,real estate,Real Estate
836,MARK STEVENS,2.5,60.0,United States,venture capital,Finance & Investments
836,SUN SHOUKUAN,2.5,70.0,China,"metals, coal",Manufacturing
836,ALAN TREFLER,2.5,64.0,United States,software,Technology
836,TSAI CHENG-TA,2.5,70.0,Taiwan,finance,Finance & Investments
836,TUNG CHEE HWA,2.5,82.0,Hong Kong,shipping,Logistics
836,PETER UNGER,2.5,75.0,Germany,auto repair,Automotive
836,OPRAH WINFREY,2.5,66.0,United States,TV shows,Media & Entertainment
836,MORTIMER ZUCKERMAN,2.5,82.0,United States,"real estate, media",Real Estate
875,RINAT AKHMETOV,2.4,53.0,Ukraine,"steel, coal",Metals & Mining
875,GEORGE BISHOP,2.4,82.0,United States,oil & gas,Energy
875,NORMAN BRAMAN,2.4,87.0,United States,"art, car dealerships",Automotive
875,JEAN COUTU & FAMILY,2.4,92.0,Canada,drugstores,Fashion & Retail
875,ALEXANDER FROLOV,2.4,55.0,Russia,"mining, steel",Metals & Mining
875,RAKESH GANGWAL,2.4,66.0,United States,airline,Service
875,"ERNEST GARCIA, II.",2.4,62.0,United States,used cars,Automotive
875,PAUL GAUSELMANN & FAMILY,2.4,85.0,Germany,gambling,Gambling & Casinos
875,HAROLD HAMM & FAMILY,2.4,74.0,United States,oil & gas,Energy
875,"EDWARD JOHNSON, IV.",2.4,55.0,United States,money management,Finance & Investments
875,ELIZABETH JOHNSON,2.4,56.0,United States,money management,Finance & Investments
875,BRAD KELLEY,2.4,63.0,United States,tobacco,Real Estate
875,ALICIA KOPLOWITZ,2.4,66.0,Spain,"construction, investments",Finance & Investments
875,KWEK LENG KEE,2.4,65.0,Singapore,diversified,Diversified
875,LIANG XINJUN,2.4,52.0,China,conglomerate,Diversified
875,LIU HANYUAN,2.4,56.0,China,agribusiness,Food & Beverage
875,LIU JINCHENG & FAMILY,2.4,55.0,China,lithium batteries,Technology
875,C. DEAN METROPOULOS,2.4,73.0,United States,investments,Food & Beverage
875,RICHARD PEERY,2.4,81.0,United States,real estate,Real Estate
875,PEI ZHENHUA,2.4,61.0,China,batteries,Energy
875,PRASERT PRASARTTONG-OSOTH,2.4,87.0,Thailand,hospitals,Healthcare
875,ALBERTO ROEMMERS,2.4,93.0,Argentina,pharmaceuticals,Healthcare
875,JEFF ROTHSCHILD,2.4,65.0,United States,Facebook,Technology
875,VIJAY SHEKHAR SHARMA,2.4,41.0,India,financial technology,Service
875,E. JOE SHOEN,2.4,70.0,United States,U-Haul,Automotive
875,SHUM CHIU HUNG & FAMILY,2.4,50.0,China,real estate,Real Estate
875,ZYGMUNT SOLORZ-ZAK,2.4,63.0,Poland,TV broadcasting,Media & Entertainment
875,KATSUMI TADA,2.4,74.0,Japan,real estate,Real Estate
875,DANIEL TSAI,2.4,63.0,Taiwan,finance,Finance & Investments
875,HERBERT WERTHEIM,2.4,80.0,United States,investments,Finance & Investments
875,JERRY YANG,2.4,51.0,United States,Yahoo,Technology
875,MICHAEL YING,2.4,70.0,Hong Kong,retail,Fashion & Retail
875,ZHANG DAOCAI,2.4,70.0,China,valves,Diversified
908,RON BARON,2.3,76.0,United States,money management,Finance & Investments
908,YVONNE BAUER,2.3,43.0,Germany,media,Media & Entertainment
908,OTTO PHILIPP BRAUN,2.3,42.0,Germany,medical technology,Healthcare
908,JIM BREYER,2.3,58.0,United States,venture capital,Technology
908,CHARLES BRONFMAN,2.3,88.0,Canada,liquor,Food & Beverage
908,VIVEK CHAND BURMAN,2.3,82.0,India,consumer goods,Food & Beverage
908,CAI DONGCHEN,2.3,67.0,China,pharmaceuticals,Healthcare
908,ANDREW & PEGGY CHERNG,2.3,,United States,restaurants,Food & Beverage
908,OLEG DERIPASKA,2.3,52.0,Russia,"aluminum, utilities",Metals & Mining
908,ABILIO DOS SANTOS DINIZ,2.3,83.0,Brazil,retail,Fashion & Retail
908,DONG FAN,2.3,50.0,China,medical devices,Healthcare
908,CHANG-WOO HAN & FAMILY,2.3,89.0,Japan,pachinko parlors,Gambling & Casinos
908,HORTENSIA HERRERO,2.3,69.0,Spain,supermarkets,Fashion & Retail
908,RAVI JAIPURIA,2.3,65.0,India,soft drinks,Food & Beverage
908,VIKTOR KHARITONIN,2.3,47.0,Russia,pharmaceuticals,Healthcare
908,KURT KRIEGER,2.3,72.0,Germany,furniture retailing,Fashion & Retail
908,LIN MING-HSIUNG,2.3,70.0,Taiwan,supermarkets,Fashion & Retail
908,LIU MING HUI,2.3,57.0,China,natural gas distribution,Energy
908,CHARLES ZHENGYAO LU,2.3,50.0,China,"coffee chain, car rentals",Service
908,ALEXANDER MAMUT,2.3,60.0,Russia,investments,Finance & Investments
908,CLAYTON MATHILE,2.3,79.0,United States,pet food,Food & Beverage
908,JAMES PACKER,2.3,52.0,Australia,casinos,Gambling & Casinos
908,DANIEL PRITZKER,2.3,60.0,United States,"hotels, investments",Service
908,JEAN (GIGI) PRITZKER,2.3,57.0,United States,"hotels, investments",Service
908,STEWART RAHR,2.3,74.0,United States,drug distribution,Healthcare
908,FERIT FAIK SAHENK,2.3,56.0,Turkey,diversified,Diversified
908,JEAN SALATA,2.3,54.0,Chile,finance,Finance & Investments
908,RICHARD SANDS,2.3,69.0,United States,liquor,Food & Beverage
908,STEPHAN SCHMIDHEINY,2.3,72.0,Switzerland,investments,Finance & Investments
908,GIL SHWED,2.3,51.0,Israel,software,Technology
908,WARREN STEPHENS,2.3,63.0,United States,investment banking,Finance & Investments
908,PETER THIEL,2.3,52.0,United States,"Facebook, Palantir",Finance & Investments
908,MAXIMILIAN VIESSMANN,2.3,,Germany,heating and cooling equipment,Manufacturing
908,DAVID WALENTAS,2.3,81.0,United States,real estate,Real Estate
908,WANG YANQING & FAMILY,2.3,54.0,China,electrical equipment,Manufacturing
908,GUSTAV MAGNAR WITZOE,2.3,26.0,Norway,fish farming,Food & Beverage
908,YE CHENGHAI & FAMILY,2.3,76.0,Hong Kong,pharmaceuticals,Healthcare
945,PATRIZIO BERTELLI,2.2,74.0,Italy,luxury goods,Fashion & Retail
945,CHENG YIXIAO,2.2,,China,video streaming app,Media & Entertainment
945,BEN CHESTNUT,2.2,45.0,United States,email marketing,Technology
945,TODD CHRISTOPHER,2.2,57.0,United States,hair care products,Fashion & Retail
945,JAMES CLARK,2.2,76.0,United States,"Netscape, investments",Technology
945,JAMES DINAN,2.2,60.0,United States,hedge funds,Finance & Investments
945,BERGIT DOUGLAS,2.2,73.0,Germany,consumer goods,Food & Beverage
945,DORIS FISHER,2.2,88.0,United States,Gap,Fashion & Retail
945,LINDSAY FOX,2.2,82.0,Australia,"logistics, real estate",Logistics
945,GAO DEKANG & FAMILY,2.2,68.0,China,apparel,Fashion & Retail
945,PHILIPPE GINESTET,2.2,66.0,France,retail stores,Fashion & Retail
945,MITCHELL GOLDHAR,2.2,58.0,Canada,real estate,Real Estate
945,JOSEPH GRENDYS,2.2,58.0,United States,poultry processing,Food & Beverage
945,HANS-WERNER HECTOR,2.2,80.0,Germany,SAP,Technology
945,JEFFERY HILDEBRAND,2.2,61.0,United States,oil,Energy
945,HUANG ZHENDA & FAMILY,2.2,72.0,China,construction,Construction & Engineering
945,MICKY JAGTIANI,2.2,68.0,India,retail,Fashion & Retail
945,JIANG WEIPING & FAMILY,2.2,65.0,China,chemicals,Manufacturing
945,BRUCE KARSH,2.2,64.0,United States,private equity,Finance & Investments
945,JIM KAVANAUGH,2.2,57.0,United States,IT provider,Technology
945,DAN KURZIUS,2.2,48.0,United States,email marketing,Technology
945,WILLIAM LAUDER,2.2,59.0,United States,Estee Lauder,Fashion & Retail
945,LI ZHENGUO & FAMILY,2.2,52.0,China,photovoltaics,Manufacturing
945,SCOTT LIN,2.2,87.0,Taiwan,optical components,Technology
945,HARALD LINK,2.2,65.0,Thailand,diversified,Diversified
945,YASSEEN MANSOUR,2.2,58.0,Egypt,diversified,Diversified
945,MAO LIXIANG & FAMILY,2.2,79.0,China,cooking appliances,Technology
945,HOWARD MARKS,2.2,73.0,United States,private equity,Finance & Investments
945,GILLES MARTIN,2.2,56.0,France,laboratory services,Healthcare
945,TAHA MIKATI,2.2,75.0,Lebanon,telecom,Telecom
945,FARHAD MOSHIRI,2.2,64.0,United Kingdom,diversified,Diversified
945,ALEXANDER NESIS,2.2,57.0,Russia,"metals, banking, fertilizers",Finance & Investments
945,ALFRED OETKER,2.2,53.0,Germany,consumer goods,Fashion & Retail
945,AUGUST OETKER,2.2,76.0,Germany,consumer goods,Fashion & Retail
945,CARL FERDINAND OETKER,2.2,47.0,Germany,consumer goods,Fashion & Retail
945,CHRISTIAN OETKER,2.2,71.0,Germany,consumer goods,Fashion & Retail
945,JULIA OETKER,2.2,41.0,Germany,consumer goods,Fashion & Retail
945,RICHARD OETKER,2.2,69.0,Germany,consumer goods,Fashion & Retail
945,OU ZONGRONG,2.2,56.0,China,real estate,Real Estate
945,PAN WEIMING,2.2,56.0,China,real estate,Real Estate
945,MIUCCIA PRADA,2.2,70.0,Italy,luxury goods,Fashion & Retail
945,SHASHI & RAVI RUIA,2.2,,India,diversified,Diversified
945,ROSELY SCHWEIZER,2.2,79.0,Germany,consumer goods,Fashion & Retail
945,BRIAN SHETH,2.2,44.0,United States,investments,Finance & Investments
945,KAVITARK RAM SHRIRAM,2.2,63.0,United States,"venture capital, Google",Technology
945,SZE MAN BOK,2.2,70.0,China,hygiene products,Manufacturing
945,TANG YIU,2.2,86.0,Hong Kong,fashion retail,Fashion & Retail
945,ARVIND TIKU,2.2,50.0,India,"oil & gas, investments",Energy
945,TONG JINQUAN,2.2,65.0,China,real estate,Real Estate
945,T.Y. TSAI,2.2,67.0,Taiwan,finance,Finance & Investments
945,KELCY WARREN,2.2,64.0,United States,pipelines,Energy
945,WU SHAOXUN,2.2,64.0,China,wine,Food & Beverage
945,JON YARBROUGH,2.2,62.0,United States,video games,Gambling & Casinos
945,BARRY ZEKELMAN,2.2,53.0,Canada,steel,Manufacturing
945,ZHANG XUEZHENG,2.2,44.0,China,telecom,Technology
945,ZUO HUI,2.2,49.0,China,real estate services,Real Estate
1001,ABDULLA AL FUTTAIM & FAMILY,2.1,,United Arab Emirates,"auto dealers, investments",Automotive
1001,JOHN ARRILLAGA,2.1,83.0,United States,real estate,Real Estate
1001,BILL AUSTIN,2.1,78.0,United States,hearing aids,Manufacturing
1001,SUHAIL BAHWAN,2.1,81.0,Oman,diversified,Diversified
1001,JOESLEY BATISTA,2.1,48.0,Brazil,beef processing,Food & Beverage
1001,WESLEY BATISTA,2.1,47.0,Brazil,beef packing,Food & Beverage
1001,CHEN JINXIA,2.1,52.0,China,investments,Finance & Investments
1001,CHEN KAIXUAN,2.1,61.0,China,household chemicals,Manufacturing
1001,CHEN XUELI,2.1,68.0,China,pharmaceuticals,Healthcare
1001,CHI YUFENG,2.1,49.0,China,software,Technology
1001,JOHN COATES,2.1,50.0,United Kingdom,online gambling,Gambling & Casinos
1001,CHARLES EDELSTENNE,2.1,82.0,France,aviation,Manufacturing
1001,ALCEU ELIAS FELDMANN,2.1,70.0,Brazil,fertilizer,Energy
1001,JOSE FELICIANO,2.1,46.0,United States,private equity,Finance & Investments
1001,CARLO FIDANI,2.1,65.0,Canada,real estate,Real Estate
1001,DAVID FILO,2.1,53.0,United States,Yahoo,Technology
1001,JOHN FISHER,2.1,58.0,United States,Gap,Fashion & Retail
1001,GERALD FORD,2.1,75.0,United States,banking,Finance & Investments
1001,GORDON GETTY,2.1,86.0,United States,Getty Oil,Energy
1001,PHILIP & CRISTINA GREEN,2.1,68.0,United Kingdom,fashion retail,Fashion & Retail
1001,JEFFREY GUNDLACH,2.1,61.0,United States,investments,Finance & Investments
1001,VINOD & ANIL RAI GUPTA,2.1,,India,electrical equipment,Manufacturing
1001,MIKHAIL GUTSERIEV,2.1,62.0,Russia,"oil, real estate",Energy
1001,HUANG SHIH TSAI,2.1,68.0,Hong Kong,real estate,Real Estate
1001,HUI LIN CHIT,2.1,66.0,China,hygiene products,Manufacturing
1001,MICHAEL JORDAN,2.1,57.0,United States,"Charlotte Hornets, endorsements",Sports
1001,DMITRY KAMENSHCHIK,2.1,51.0,Russia,airport,Service
1001,KONG JIAN MIN,2.1,52.0,China,real estate,Real Estate
1001,KUOK KHOON HONG,2.1,70.0,Singapore,palm oil,Manufacturing
1001,ADAM KWOK,2.1,37.0,Hong Kong,real estate,Real Estate
1001,HEIKKI KYOSTILA,2.1,74.0,Finland,dental products,Healthcare
1001,STEPHEN LANSDOWN,2.1,67.0,Guernsey,financial services,Finance & Investments
1001,CHRISTIAN LATOUCHE,2.1,79.0,France,accounting services,Finance & Investments
1001,AERIN LAUDER,2.1,49.0,United States,cosmetics,Fashion & Retail
1001,HENRY LAUFER,2.1,74.0,United States,hedge funds,Finance & Investments
1001,LI GAITENG,2.1,47.0,China,hair dryers,Manufacturing
1001,LI WEIWEI,2.1,43.0,China,online games,Technology
1001,LIN JIANHUA & FAMILY,2.1,57.0,China,solar panel components,Manufacturing
1001,LUO LIGUO & FAMILY,2.1,64.0,China,chemicals,Manufacturing
1001,IGOR MAKAROV,2.1,58.0,Russia,investments,Energy
1001,NAJIB MIKATI,2.1,64.0,Lebanon,telecom,Telecom
1001,NGUYEN THI PHUONG THAO,2.1,49.0,Vietnam,airlines,Diversified
1001,HUSNU OZYEGIN,2.1,75.0,Turkey,"finance, diversified",Finance & Investments
1001,JAY PAUL,2.1,72.0,United States,real estate,Real Estate
1001,KRIT RATANARAK,2.1,73.0,Thailand,"media, real estate",Media & Entertainment
1001,ALEXEY REPIK,2.1,40.0,Russia,pharmaceuticals,Healthcare
1001,FILIZ SAHENK,2.1,53.0,Turkey,diversified,Diversified
1001,ALEJANDRO SANTO DOMINGO,2.1,43.0,United States,beer,Food & Beverage
1001,ANDRES SANTO DOMINGO,2.1,41.0,United States,beer,Food & Beverage
1001,LEONARD SCHLEIFER,2.1,67.0,United States,pharmaceuticals,Healthcare
1001,SHEN GUOJUN,2.1,57.0,China,retail,Fashion & Retail
1001,DONALD TRUMP,2.1,73.0,United States,real estate,Real Estate
1001,TED TURNER,2.1,81.0,United States,cable television,Media & Entertainment
1001,MASATERU UNO & FAMILY,2.1,73.0,Japan,drugstores,Fashion & Retail
1001,STEFAN VON HOLTZBRINCK,2.1,56.0,Germany,publishing,Media & Entertainment
1001,WANG XICHENG & FAMILY,2.1,71.0,China,tires,Manufacturing
1001,WILLIAM YOUNG,2.1,79.0,United States,plastics,Manufacturing
1001,CHARLES ZEGAR,2.1,72.0,United States,Bloomberg LP,Media & Entertainment
1001,ZHANG XUANSONG,2.1,48.0,China,supermarkets,Fashion & Retail
1001,ZHANG XUEXIN & FAMILY,2.1,72.0,China,aluminum,Metals & Mining
1001,ZHAO WEIGUO,2.1,53.0,China,IT products,Technology
1001,ZHOU BAJIN,2.1,84.0,China,auto parts,Manufacturing
1063,S. DANIEL ABRAHAM,2,95.0,United States,Slim-Fast,Food & Beverage
1063,JOHN ARMITAGE,2,60.0,Ireland,hedge funds,Finance & Investments
1063,CAROL JENKINS BARNETT,2,63.0,United States,Publix supermarkets,Food & Beverage
1063,KOOS BEKKER,2,67.0,South Africa,"media, investments",Media & Entertainment
1063,GIULIANA BENETTON,2,82.0,Italy,"fashion retail, investments",Fashion & Retail
1063,LUCIANO BENETTON,2,84.0,Italy,"fashion retail, investments",Fashion & Retail
1063,THOR BJORGOLFSSON,2,53.0,Iceland,investments,Diversified
1063,CAO LONGXIANG & FAMILY,2,62.0,China,pharmaceuticals,Healthcare
1063,CHEN HUA,2,54.0,China,real estate,Real Estate
1063,CHEN TEI-FU,2,71.0,Taiwan,herbal products,Fashion & Retail
1063,CHO TAK WONG,2,73.0,Hong Kong,auto parts,Manufacturing
1063,DERMOT DESMOND,2,69.0,Ireland,finance,Finance & Investments
1063,ENNIO DORIS & FAMILY,2,79.0,Italy,financial services,Finance & Investments
1063,GLENN DUBIN,2,62.0,United States,hedge funds,Finance & Investments
1063,BEHDAD EGHBALI,2,43.0,United States,private equity,Finance & Investments
1063,DANIEL EK,2,37.0,Sweden,Spotify,Technology
1063,MARCEL ERNI,2,55.0,Switzerland,private equity,Finance & Investments
1063,KENNETH FELD & FAMILY,2,71.0,United States,live entertainment,Media & Entertainment
1063,MARCOS GALPERIN,2,,Argentina,e-commerce,Technology
1063,ALFRED GANTNER,2,52.0,Switzerland,private equity,Finance & Investments
1063,ALESSANDRA GARAVOGLIA,2,60.0,Italy,spirits,Food & Beverage
1063,FIONA GEMINDER,2,55.0,Australia,manufacturing,Manufacturing
1063,GENG JIANMING,2,57.0,China,real estate,Real Estate
1063,ALEC GORES,2,67.0,United States,private equity,Finance & Investments
1063,DAVID GOTTESMAN,2,93.0,United States,investments,Finance & Investments
1063,ALEXANDRE GRENDENE BARTELLE,2,70.0,Brazil,shoes,Fashion & Retail
1063,STEIN ERIK HAGEN,2,63.0,Norway,consumer goods,Fashion & Retail
1063,CAROLINE HAGEN KJOS,2,36.0,Norway,conglomerate,Diversified
1063,CARLOS HANK RHON,2,72.0,Mexico,banking,Diversified
1063,BAHAA HARIRI,2,53.0,Lebanon,"real estate, investments",Real Estate
1063,HE ZHAOXI,2,46.0,China,software,Technology
1063,STANLEY HUBBARD,2,86.0,United States,DirecTV,Media & Entertainment
1063,JI QI,2,53.0,China,"hotels, motels",Real Estate
1063,VINOD KHOSLA,2,65.0,United States,venture capital,Technology
1063,JONATHAN KWOK,2,28.0,Hong Kong,Real Estate,Real Estate
1063,MARTIN LAU,2,47.0,Hong Kong,e-commerce,Technology
1063,THOMAS LEE,2,76.0,United States,private equity,Finance & Investments
